"article_ID","cited_by_id"
"1020","373185"
"1020","373153"
"1020","373155"
"1020","166334"
"1020","373174"
"1020","373160"
"1020","19342"
"1020","373161"
"1020","373151"
"2426","2401704"
"2426","2401702"
"2426","2401705"
"2426","192787"
"2426","2401700"
"2426","2401701"
"2426","2401703"
"14998","4973820"
"14998","1428904"
"14998","4973819"
"14998","130311"
"14998","4973821"
"14998","657978"
"17326","17327"
"17326","17328"
"19010","370200"
"19010","1155073"
"19180","245016"
"19180","245017"
"19180","245015"
"19180","192769"
"19180","25114"
"19180","245014"
"19180","245018"
"19180","150931"
"19180","245003"
"19180","245010"
"19180","245019"
"19180","245005"
"19180","245004"
"19180","245020"
"19180","245006"
"19180","19396"
"19180","245009"
"19180","192672"
"19180","245007"
"19180","25099"
"19180","245001"
"19180","244977"
"19180","244978"
"19180","245000"
"19180","244997"
"19180","245008"
"19180","150926"
"19180","244976"
"19180","244981"
"19180","244992"
"19180","244991"
"19180","244989"
"19180","244985"
"19180","244984"
"19180","244988"
"19180","244994"
"19180","244986"
"19180","244983"
"19180","244982"
"19180","244993"
"19180","244987"
"19180","244990"
"19180","244999"
"19180","245002"
"19180","244998"
"19180","244979"
"19180","67782"
"19180","244995"
"19180","244996"
"19180","184593"
"19180","245107"
"19180","245101"
"19180","19337"
"19180","245119"
"19180","192821"
"19180","245013"
"19180","245011"
"19180","245133"
"19180","245134"
"19180","245129"
"19180","192752"
"19180","245130"
"19180","150908"
"19180","245126"
"19180","245124"
"19180","245127"
"19180","245122"
"19180","245123"
"19180","245128"
"19180","245135"
"19180","245120"
"19180","19749"
"19180","245118"
"19180","245116"
"19180","210938"
"19180","245117"
"19180","245115"
"19180","25246"
"19180","245114"
"19180","245113"
"19180","245136"
"19180","113628"
"19180","245121"
"19180","245021"
"19180","245108"
"19180","245109"
"19180","245106"
"19180","245104"
"19180","245110"
"19180","245105"
"19180","245102"
"19180","144050"
"19180","245100"
"19180","245022"
"19180","245111"
"19180","245103"
"19180","245112"
"19180","245132"
"19180","184597"
"19180","245131"
"19180","245125"
"19180","245098"
"19180","166325"
"19180","245099"
"19180","150991"
"19180","245096"
"19180","245093"
"19180","245091"
"19180","245012"
"19180","245095"
"19180","245097"
"19180","245090"
"19180","150983"
"19180","25219"
"19180","245085"
"19180","245083"
"19180","245087"
"19180","245084"
"19180","245079"
"19180","245080"
"19180","245077"
"19180","245076"
"19180","245081"
"19180","192721"
"19180","245088"
"19180","245074"
"19180","238123"
"19180","245073"
"19180","245070"
"19180","245071"
"19180","150969"
"19180","245072"
"19180","245067"
"19180","192719"
"19180","245068"
"19180","245069"
"19180","42184"
"19180","245089"
"19180","245075"
"19180","245061"
"19180","245062"
"19180","245078"
"19180","245063"
"19180","245060"
"19180","245057"
"19180","245082"
"19180","245058"
"19180","25182"
"19180","245059"
"19180","245086"
"19180","245054"
"19180","245055"
"19180","19872"
"19180","192703"
"19180","25169"
"19180","245094"
"19180","245056"
"19180","245092"
"19180","245053"
"19180","192709"
"19180","245051"
"19180","245052"
"19180","61600"
"19180","245050"
"19180","245047"
"19180","245048"
"19180","209776"
"19180","245049"
"19180","19244"
"19180","245044"
"19180","245045"
"19180","25158"
"19180","245064"
"19180","245046"
"19180","245043"
"19180","25168"
"19180","245039"
"19180","245040"
"19180","192779"
"19180","245038"
"19180","245035"
"19180","245036"
"19180","245041"
"19180","245037"
"19180","25139"
"19180","245032"
"19180","245033"
"19180","245031"
"19180","245029"
"19180","245034"
"19180","245030"
"19180","19648"
"19180","25127"
"19180","192686"
"19180","245027"
"19180","245026"
"19180","245024"
"19180","110859"
"19180","245028"
"19180","245025"
"19180","245065"
"19180","192689"
"19180","245023"
"19180","245042"
"19180","244980"
"19180","245066"
"19180","19925"
"19241","1807655"
"19241","176697"
"19241","1807654"
"19241","369972"
"19241","1807652"
"19241","1150518"
"19241","1807653"
"19241","895489"
"19306","1855442"
"19306","138332"
"19306","1166850"
"19306","3053771"
"19306","5163178"
"19306","5163180"
"19306","68674"
"19306","5163179"
"19306","5163175"
"19306","3941428"
"19306","1166811"
"19306","3082016"
"19306","1167632"
"19306","4529840"
"19306","196988"
"19306","1130720"
"19306","4314469"
"19306","5163155"
"19306","1132906"
"19306","1167647"
"19306","2407008"
"19306","197661"
"19306","5163207"
"19306","1145172"
"19306","2462595"
"19306","5163206"
"19306","1226957"
"19306","5163208"
"19306","351842"
"19306","5163189"
"19306","5163204"
"19306","3198459"
"19306","2462869"
"19306","5163181"
"19306","5163205"
"19306","166421"
"19306","3082470"
"19306","1145394"
"19306","4336546"
"19306","5163201"
"19306","1231255"
"19306","1401937"
"19306","5163202"
"19306","4967939"
"19306","41123"
"19306","1167234"
"19306","5163198"
"19306","19618"
"19306","198080"
"19306","1167171"
"19306","5050986"
"19306","5163185"
"19306","166254"
"19306","133247"
"19306","287614"
"19306","5163186"
"19306","5163196"
"19306","82443"
"19306","4336526"
"19306","4336524"
"19306","5163197"
"19306","112144"
"19306","5163172"
"19306","5163171"
"19306","4336498"
"19306","166375"
"19306","5163170"
"19306","1130717"
"19306","2146209"
"19306","3457471"
"19306","101520"
"19306","113394"
"19306","5163169"
"19306","1124389"
"19306","335164"
"19306","370269"
"19306","5163182"
"19306","5163195"
"19306","133236"
"19306","5163173"
"19306","133238"
"19306","1167741"
"19306","5163177"
"19306","4273060"
"19306","1540373"
"19306","335122"
"19306","133241"
"19306","5163176"
"19306","3946382"
"19306","370163"
"19306","3690606"
"19306","1278795"
"19306","5163194"
"19306","3524371"
"19306","2663477"
"19306","2663484"
"19306","5163188"
"19306","5163183"
"19306","4314461"
"19306","4336566"
"19306","2476734"
"19306","335166"
"19306","133232"
"19306","2635025"
"19306","4336537"
"19306","133243"
"19306","5163203"
"19306","3045030"
"19306","133242"
"19306","2663472"
"19306","5163187"
"19306","5163163"
"19306","5163162"
"19306","5163154"
"19306","5163164"
"19306","3968847"
"19306","245020"
"19306","5163165"
"19306","133250"
"19306","166397"
"19306","335172"
"19306","5051196"
"19306","276214"
"19306","166464"
"19306","1145207"
"19306","4318669"
"19306","5163160"
"19306","5163158"
"19306","1167936"
"19306","4567760"
"19306","2663482"
"19306","5163159"
"19306","5163161"
"19306","5163157"
"19306","315738"
"19306","2463267"
"19306","2462979"
"19306","5163166"
"19306","4318672"
"19306","1262398"
"19306","5163184"
"19306","1166920"
"19306","369682"
"19306","5018127"
"19306","166334"
"19306","5163156"
"19306","5163174"
"19306","166336"
"19306","5163167"
"19306","5163193"
"19306","5163199"
"19306","244247"
"19306","5163191"
"19306","3969218"
"19306","5163200"
"19306","1167688"
"19306","370222"
"19306","1167750"
"19306","133245"
"19306","4341517"
"19306","133240"
"19306","5163168"
"19306","5163190"
"19306","5163192"
"19306","1167679"
"19306","335173"
"19415","103457"
"19415","103458"
"19415","103453"
"19415","103454"
"19415","103455"
"19415","19304"
"19415","103456"
"19424","5294603"
"19424","5294602"
"19424","1167193"
"19424","1231970"
"19424","1232923"
"19424","2687354"
"19424","1232442"
"19424","5294618"
"19424","5059773"
"19424","412149"
"19424","25126"
"19424","5274196"
"19424","3439949"
"19424","134298"
"19424","5294617"
"19424","1233156"
"19424","5294620"
"19424","150969"
"19424","1233093"
"19424","5294225"
"19424","5294615"
"19424","266017"
"19424","5294616"
"19424","25230"
"19424","3439948"
"19424","1166833"
"19424","3420311"
"19424","192891"
"19424","184586"
"19424","328057"
"19424","5294610"
"19424","4332031"
"19424","5294609"
"19424","1124203"
"19424","1134583"
"19424","1101915"
"19424","4510820"
"19424","5294611"
"19424","4317460"
"19424","2462689"
"19424","5294608"
"19424","5294613"
"19424","144049"
"19424","5059763"
"19424","19959"
"19424","5294614"
"19424","5294612"
"19424","1255002"
"19424","166417"
"19424","4273055"
"19424","2686959"
"19424","19438"
"19424","5294605"
"19424","210986"
"19424","1231638"
"19424","1123932"
"19424","5294606"
"19424","3439954"
"19424","19430"
"19424","5294604"
"19424","807841"
"19424","25157"
"19424","57479"
"19424","2385366"
"19424","5294607"
"19424","5294619"
"19424","2632237"
"19489","19538"
"19489","50359"
"19489","25240"
"19489","25237"
"19489","19720"
"19489","50356"
"19489","50355"
"19489","50354"
"19489","19918"
"19489","50353"
"19489","19313"
"19489","25228"
"19489","50352"
"19489","25223"
"19489","19522"
"19489","50351"
"19489","50350"
"19489","19696"
"19489","50349"
"19489","50348"
"19489","42209"
"19489","50347"
"19489","50360"
"19489","50346"
"19489","50345"
